Florida St.,Seminoles,Person,30.4380832,-84.2809332,782F40,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21131.svg
Fordham,Rams,Land,40.8466508,-73.8785937,860038,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21140.svg
Fort Wayne,Mastadons,Land,41.0799898,-85.1386015,002F6C,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/165915.svg
Fresno St.,Bulldogs,Land,36.7394421,-119.78483,DB0032,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21426.svg
Furman,Paladins,Person,34.851354,-82.3984882,582C83,Purple,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21370.svg
Gardner Webb,Bulldogs,Land,35.254292,-81.6670407,BF2F37,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/160923.svg
George Mason,Patriots,Person,38.8156356,-77.2836849,006633,Green,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21227.svg
George Washington,Colonials,Person,38.8950368,-77.0365427,002654,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21141.svg
Georgetown,Hoyas,Land,38.8950368,-77.0365427,041E42,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21162.svg
Georgia,Bulldogs,Land,33.9597677,-83.376398,BA0C2F,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21356.svg
Georgia Southern,Eagles,Air,32.4490141,-81.7832912,011E41,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21371.svg
Georgia St.,Panthers,Land,33.7489924,-84.3902644,0039A6,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21408.svg
Georgia Tech,Yellow Jackets,Air,33.7489924,-84.3902644,A28D5B,Yellow,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21132.svg
Gonzaga,Bulldogs,Land,47.6571934,-117.42351,041E42,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21415.svg
Grambling St.,Tigers,Land,32.5276503,-92.7140403,EAA921,Yellow,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21391.svg
Grand Canyon,Antelopes,Land,33.4484367,-112.074141,522398,Purple,https://sports.cbsimg.net/fly/images/ncaa/logos/team/160925.svg
Green Bay,Phoenix,Air,44.4752606,-88.060735,006747,Green,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21301.svg
Hampton,Pirates,Person,37.0300969,-76.3452057,0060A9,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21290.svg
Harvard,Crimson,Color,42.3655767,-71.1040018,A41034,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21250.svg
Hawaii,Rainbow Warriors,Person,21.304547,-157.855676,024731,Green,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21427.svg
High Point,Panthers,Land,35.9556924,-80.0053176,330072,Purple,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21189.svg
Hofstra,Pride,Land,40.6736812,-73.6190736,0B1E73,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21154.svg
Holy Cross,Crusaders,Person,42.2625621,-71.8018877,602D89,Purple,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21348.svg
Houston,Cougars,Land,29.7589382,-95.3676974,C8102E,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21237.svg
Houston Christian,Huskies,Land,29.7589382,-95.3676974,1C4E9D,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/161324.svg
Howard,Bisons,Land,38.8950368,-77.0365427,003A63,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21289.svg
Idaho,Vandals,Person,46.7323875,-117.000165,86754D,Yellow,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21217.svg
Idaho St.,Bengals,Land,42.8620287,-112.450627,FF671F,Orange,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21174.svg
Illinois,Fighting Illini,Person,40.1164841,-88.2430932,E84A27,Orange,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21190.svg
Illinois Chicago,Flames,Object,41.8755616,-87.6244212,AC1E2D,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21299.svg
Illinois St.,Redbirds,Air,40.5092961,-88.9843937,CE1126,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21308.svg
Incarnate Word,Cardinals,Air,29.4246002,-98.4951405,CB333B,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/2066288.svg
Indiana,Hoosiers,Person,39.1670396,-86.5342881,990000,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21191.svg
Indiana St.,Sycamores,Object,39.4667025,-87.4139119,0142BC,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21309.svg
Iona,Gaels,Person,40.9115386,-73.7826363,6F2C3F,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21256.svg
Iowa,Hawkeyes,Air,41.6612561,-91.5299106,FFCD00,Yellow,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21192.svg
Iowa St.,Cyclones,Weather,42.0267567,-93.6170448,C8102E,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21203.svg
IUPUI,Jaguars,Land,39.7683331,-86.1583502,9D2235,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21284.svg
Jackson St.,Tigers,Land,32.2998686,-90.1830408,002147,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21392.svg
Jacksonville,Dolphins,Water,30.3321838,-81.655651,004E44,Green,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21410.svg
Jacksonville St.,Gamecocks,Air,33.8137919,-85.7612872,CC0000,Red,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21409.svg
James Madison,Dukes,Person,38.4493315,-78.8688833,450084,Purple,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21228.svg
Kansas,Jayhawks,Air,38.9719137,-95.2359403,0051BA,Blue,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21204.svg
Kansas St.,Wildcats,Land,39.1836082,-96.5716694,512888,Purple,https://sports.cbsimg.net/fly/images/ncaa/logos/team/21205.svg
