Lindenwood,Lions,Land Animals,#101820,OVC,Missouri
Liberty,Flames,Natural Phenomena,#15264e,CUSA,Virginia
Lehigh,Mountain Hawks,Birds,#653600,Pat,Pennsylvania
lemoyne-alternate,Dolphins,Land Animals,#00452A,NEC,New York
Lamar,Cardinals,Birds,#ec2a31,Slnd,Texas
Lafayette,Leopards,Land Animals,#98002e,Pat,Pennsylvania
La Salle,Explorers,Humans,#efc309,A10,Pennsylvania
LSU,Tigers,Land Animals,#461d7c,SEC,Louisiana
LIU,Blackbirds,Birds,#0064ee,NEC,New York
Kentucky,Wildcats,Land Animals,#005DAA,SEC,Kentucky
Kent State,Golden Flashes,Natural Phenomena,#002664,MAC,Ohio
Kennesaw State,Owls,Birds,#ecbb09,ASun,Georgia
Kansas City,Kangaroos,Land Animals,#005293,Sum,Kansas
Kansas State,Wildcats,Land Animals,#502d7f,B12,Kansas
Kansas,Jayhawks,Mythical Creatures,#006ab5,B12,Kansas
James Madison,Dukes,Humans,#484191,SB,Virginia
Jacksonville State,Gamecocks,Birds,#be0f34,CUSA,Alabama
Jacksonville,Dolphins,Land Animals,#005239,ASun,Florida
Jackson State,Tigers,Land Animals,#002654,SWAC,Mississippi
Iowa State,Cyclones,Natural Phenomena,#A71930,B12,Iowa
Iowa,Hawkeyes,Birds,#141414,B10,Iowa
Iona,Gaels,Humans,#702e3d,MAAC,New York
Indiana State,Sycamores,Land Animals,#0046ad,MVC,Indiana
Indiana,Hoosiers,Humans,#9e1b32,B10,Indiana
Incarnate Word,Cardinals,Birds,#d72c23,Slnd,Texas
Illinois-Chicago,Flames,Natural Phenomena,#CC3333,MVC,Illinois
Illinois State,Redbirds,Birds,#ca1134,MVC,Illinois
Illinois,Fighting Illini,Humans,#e0322a,B10,Illinois
Idaho State,Bengals,Land Animals,#ff7800,BSky,Idaho
Idaho,Vandals,Humans,#b58e5b,BSky,Idaho
IUPUI,Jaguars,Land Animals,#dab36b,Horz,Indiana
Purdue Fort Wayne,Mastodons,Land Animals,#015838,Sum,Indiana
Howard,Bison,Land Animals,#ef3e43,MEAC,Maryland
Houston Baptist,Huskies,Land Animals,#023795,Slnd,Texas
Houston,Cougars,Land Animals,#CC0000,B12,Texas
Holy Cross,Crusaders,Humans,#602d89,Pat,Massachusetts
